stationReference,month,avg_daily_pet
700295,1,0.29032261220264255
4192,1,0.3903387984548496
L2005,1,0.39437004807387194
692115,1,0.34157075137155507
E21195,1,0.3825243372734399
768001,1,0.3456135616141869
50125,1,0.510010805665651
E72039,1,0.7944549069569995
E72024,1,0.7944549069569995
4155,1,0.3810289986452418
L3806,1,0.3668779946971088
2102,1,0.37971363481797327
53125,1,0.3928307662437791
E2900,1,0.45042753085775894
4118,1,0.39649859083006883
43112,1,0.4099288424601687
E15250,1,0.2853227252353658
2486TH,1,0.3548998718185058
45128,1,0.4626551039450369
48128,1,0.5525574931282172
L1605,1,0.2656706462418599
E1442,1,0.4591813730517386
E41137,1,0.408077769637302
E8190,1,0.28983081851082976
F3707,1,0.34106477056894474
2698TH,1,0.3095809358594102
52229,1,0.42790775049077173
E71639,1,0.44587041537689354
E71624,1,0.44587041537689354
E24367,1,0.3755450348774564
700309,1,0.30986368625612093
2420_w1TH,1,0.4000223919851146
1453TH,1,0.39701737911802937
750604,1,0.4041492163798252
1483TH,1,0.3929275493006621
E4405,1,0.46462635822600756
45216,1,0.6236522621663314
47171,1,0.5398968071242626
024014,1,0.36081501647346725
E1530,1,0.30108395565564366
L2404,1,0.3446388071487278
2201TH,1,0.3557227053786769
E42196,1,0.491216135492663
4058,1,0.3280469444189473
2005,1,0.47032154842720825
L1322,1,0.40754590959988907
E8241,1,0.31017365575218714
F1608,1,0.29677983865935864
E73439,1,0.5634629282949918
E73424,1,0.5634629282949918
690350,1,0.2415341993597083
50153,1,0.515043480773633
1502TH,1,0.39517315755895926
2228,1,0.36805977685063557
E22008,1,0.3597453326104009
L1545,1,0.3368680224577155
E22885,1,0.30019474790884326
53153,1,0.38817095281490704
E22504,1,0.36338943957947845
5522TH,1,0.26336572271958486
E4976,1,0.38453416202686697
50116,1,0.6017047237917517
L3203,1,0.3309538618865165
4146,1,0.3435734070287207
2890TH,1,0.24589433932492835
E22727,1,0.34617875885234084
2989TH,1,0.24944230479791915
E14530,1,0.4334421145196107
F1102,1,0.39482083537058865
E3003,1,0.4176355219757014
4011,1,0.34711372632960835
45119,1,0.4565222028282237
E4804,1,0.4048621960802164
712170,1,0.3478705416249027
L2307,1,0.37409490637472914
L2803,1,0.3939820508136694
2886TH,1,0.3367939172777441
3369TH,1,0.2647047251538008
3820TH,1,0.29228079437104676
3850TH,1,0.28726648599834986
E1656,1,0.3491019022667908
L1721,1,0.4032736929837347
3880TH,1,0.29858659554700956
023058,1,0.37761662464073836
4086,1,0.32348053518928654
737536,1,0.351742776603677
024005,1,0.32387199939588207
E1521,1,0.3259083021694109
47125,1,0.6459564471358923
4049,1,0.37060010252631004
E26141,1,0.3744432118570587
694460,1,0.35713266089655943
E21325,1,0.3961080695518338
L3602,1,0.3532736197935129
L1907,1,0.34871617030379587
712221,1,0.323308603009929
L2024,1,0.4222167623366404
5141TH,1,0.41641765887530297
4174,1,0.2622675799035787
5171TH,1,0.37394749034989866
L3491,1,0.4105505561000935
2601TH,1,0.33826343169027534
E23327,1,0.5132374997067579
1303TH,1,0.38729782531759993
2469_w2TH,1,0.40302430654987725
4389TH,1,0.2699298121645202
023011,1,0.30327722591881284
E5320,1,0.3472565701623152
48184,1,0.7159784267890515
E13810,1,0.4246275347518582
2293TH,1,0.40441323464479484
E14521,1,0.5050676965406261
E21042,1,0.3722199510355455
E4832,1,0.3715029481791646
2813TH,1,0.36355296349826677
F0605,1,0.2817686460535309
F2560,1,0.35150796256305417
E21005,1,0.3815662568526786
531159,1,0.35743272845532276
L2200,1,0.3619990448201448
E10389,1,0.3629901630088764
5280TH,1,0.3598739897530147
52113,1,0.4910768630067515
45235,1,0.5149850130027213
021033,1,0.4430874619545784
E21724,1,0.38423354801562726
3223TH,1,0.29598396782582254
F3480,1,0.3837340183522078
2809TH,1,0.3539787290378641
E19031,1,0.3924279072070226
2024,1,0.38447957564981233
2618,1,0.33939477661182227
E23726,1,0.37850498431338636
E2223,1,0.304732941849071
690207,1,0.21723627895524722
47116,1,0.5498643381345135
531112,1,0.38506452126359986
L1304,1,0.39322035123970184
L1800,1,0.3885098845490715
50135,1,0.499603464566733
E24302,1,0.33728495980745954
2250TH,1,0.4043270117225537
1408TH,1,0.3753695854005898
L1527,1,0.34392718181335824
53135,1,0.39799244388075367
E22152,1,0.3831967407560585
44204,1,0.5243079925958081
692348,1,0.33536431968102137
4091TH,1,0.30006662485554875
2004TH,1,0.4107123864650267
F1715,1,0.42051471852635286
720780,1,0.5553052366063044
43122,1,0.4130708268788218
E15260,1,0.26394188584041695
5541TH,1,0.2511818127673854
46122,1,0.5691975677305762
2831,1,0.46291297956711647
L0668,1,0.4162510875040433
E12483,1,0.3878632561649161
49122,1,0.6752555431952728
E4823,1,0.39424921530636753
L0904,1,0.4117837759061367
0009,1,0.2980232747261436
48138,1,0.5693932525263599
5355TH,1,0.29730791471645884
43210,1,0.454480575021715
L1207,1,0.3308431529122333
L1703,1,0.40787543192154624
2646,1,0.3809309557159448
024024,1,0.3895968663650901
744312,1,0.4921382897857143
692190,1,0.2980185833413902
692524,1,0.2305893618896097
2015,1,0.37491579480941417
F2106,1,0.35722554107442334
2609,1,0.3449787064737838
44107,1,0.5346963916165238
2511,1,0.3576734724477656
L2043,1,0.4210211477042195
4382TH,1,0.25867915380158385
4868TH,1,0.3872456963332122
E2710,1,0.42554889297771686
723423,1,0.3366317703183585
51110,1,0.517715785701656
44232,1,0.49196860812116056
E714,1,0.30516153857479894
L0807,1,0.42814553792893506
E8970,1,0.30253269712760716
50126,1,0.6437339925758468
L3807,1,0.3885159773246152
53126,1,0.3982883247854946
46150,1,0.6609941483644333
L2725,1,0.3193859981740364
762600,1,0.4179317938643429
5190TH,1,0.3568791275657241
43113,1,0.4336226330466836
2620TH,1,0.3554737329225456
022009,1,0.347770747761912
4378TH,1,0.2860478069557927
2199TH,1,0.39870233593998516
743008,1,0.39891657826433446
49113,1,0.6780818284087958
E21284,1,0.2597354698717103
48129,1,0.5796664593628308
2802TH,1,0.33701941659932416
690138,1,0.27577273728753754
4207,1,0.3829673669905161
750605,1,0.4033541873314763
E1406,1,0.4233587931613546
L17033,1,0.3395401763995916
F2505,1,0.37750527553801194
730120,1,0.3181428020114836
E2613,1,0.3978674710190932
45217,1,0.5495249986949604
47172,1,0.5342263051603502
770500,1,0.43205830985859456
5308TH,1,0.342670007587584
024015,1,0.36471571409630993
E23151,1,0.31241024796716177
3090TH,1,0.24944230479791915
E23745,1,0.4127152612388406
762540,1,0.40920768541799146
47135,1,0.5139391408040644
1431TH,1,0.3930478176298528
E72439,1,0.7809957877083695
E72424,1,0.7809957877083695
F0304,1,0.35524192826323564
L1546,1,0.34269475666459326
2131,1,0.33526168017023317
53154,1,0.39114030795866167
2941TH,1,0.34207878589099416
L0204,1,0.34888684963207617
E21187,1,0.37710061641689674
50117,1,0.5670295985394355
L3204,1,0.310894669987048
023021,1,0.25205957577399446
4020TH,1,0.26437205140715314
680301,1,0.3621152383432974
713030,1,0.29469760129917116
4050TH,1,0.275062862540836
4012,1,0.3586214026233865
4080TH,1,0.29331526891630993
E7842,1,0.28706084200228327
F2570,1,0.3797215650125851
694744,1,0.32527930563280033
E21609,1,0.3592325205959688
E21511,1,0.3507303698210464
2937TH,1,0.23435408432441135
L2210,1,0.35556485901532975
692418,1,0.3046853077992056
E21238,1,0.2480126794726453
2569TH,1,0.30549767975657705
2169,1,0.36201647342382337
2071,1,0.37160779121790527
E23277,1,0.36477022520221547
E2270,1,0.26539362697053687
4087,1,0.29274074334864675
1020TH,1,0.4528667676206383
2034,1,0.3753068835933083
737537,1,0.33757777386594406
F2125,1,0.3608911702689522
024006,1,0.3349697074905305
E8010,1,0.28248379671905977
48110,1,0.6647552536014927
E1782,1,0.3811375370115847
52211,1,0.4399810877773339
690713,1,0.1856812060844862
2894TH,1,0.3232713009783316
E1151,1,0.4038549185681907
L1810,1,0.4037870457350144
055028_TG 9302,1,0.35858190231315423
E1708,1,0.3739904042737313
1801TH,1,0.432871259339635
F2807,1,0.37623052490489756
E2085,1,0.42963344948650145
E24795,1,0.3395046453843782
4040,1,0.21242681031285596
48185,1,0.6582155538269473
713119,1,0.299761168755485
F3504,1,0.41347625349283035
L2373,1,0.3917329603396911
49132,1,0.5983537558746129
681003,1,0.30656495696473357
L1389,1,0.3675850931185802
E10440,1,0.35291811905947756
0019,1,0.4005277336134945
4003,1,0.33384789193184594
1645TH,1,0.39623159792325213
1675TH,1,0.38626640375744903
724700,1,0.41037198207762704
52151,1,0.48864974121180493
